pwm,time
1556,228.0
1557,228.5
1558,229.0
1559,229.5
1560,230.0
1561,230.5
1562,231.0
1563,231.5
1564,232.0
1565,232.5
1566,233.0
1567,233.5
1568,234.0
1569,234.5
1570,235.0
1571,235.5
1572,236.0
1573,236.5
1574,237.0
1575,237.5
1576,238.0
1577,238.5
1578,239.0
1579,239.5
1580,240.0
1581,240.5
1582,241.0
1583,241.5
1584,242.0
1585,242.5
1586,243.0
1587,243.5
1588,244.0
1589,244.5
1590,245.0
1591,245.5
1592,246.0
1593,246.5
1594,247.0
1595,247.5
1596,248.0
1597,248.5
1598,249.0
1599,249.5
1600,250.0
1601,250.5
1602,251.0
1603,251.5
1604,252.0
1605,252.5
1606,253.0
1607,253.5
1608,254.0
1609,254.5
1610,255.0
1611,255.5
1612,256.0
1613,256.5
1614,257.0
1615,257.5
1616,258.0
1617,258.5
1618,259.0
1619,259.5
1620,260.0
1621,260.5
1622,261.0
1623,261.5
1624,262.0
1625,262.5
1626,263.0
1627,263.5
1628,264.0
1629,264.5
1630,265.0
1631,265.5
1632,266.0
1633,266.5
1634,267.0
1635,267.5
1636,268.0
1637,268.5
1638,269.0
1639,269.5
1640,270.0
1641,270.5
1642,271.0
1643,271.5
1644,272.0
1645,272.5
1646,273.0
1647,273.5
1648,274.0
1649,274.5
1650,275.0
1651,275.5
1652,276.0
1653,276.5
1654,277.0
1655,277.5
1656,278.0
1657,278.5
1658,279.0
1659,279.5
1660,280.0
1661,280.5
1662,281.0
1663,281.5
1664,282.0
1665,282.5
1666,283.0
1667,283.5
1668,284.0
1669,284.5
1670,285.0
1671,285.5
1672,286.0
1673,286.5
1674,287.0
1675,287.5
1676,288.0
1677,288.5
1678,289.0
1679,289.5
1680,290.0
1681,290.5
1682,291.0
1683,291.5
1684,292.0
1685,292.5
1686,293.0
1687,293.5
1688,294.0
1689,294.5
1690,295.0
1691,295.5
1692,296.0
1693,296.5
1694,297.0
1695,297.5
1696,298.0
1697,298.5
1698,299.0
1699,299.5
1700,300.0
